id_expense,expense_title,amount,id_category,creation_date
f8fe54e4-92b8-407a-8098-33e3402d4428,Gasolina,500,db62fe4d-8e1e-47ab-8790-75f85d9f3d82,2026-09-07 21:24:10
d5be77c6-fe96-4322-a014-e9d03df599ae,Comida,5000,db62fe4d-8e1e-47ab-8790-75f85d9f3d82,2026-09-07 21:37:50
dc97dd10-0905-45e4-a485-ac7921b31054,Otros,8000,db62fe4d-8e1e-47ab-8790-75f85d9f3d82,2026-09-07 21:44:32
935b7f8f-ebe6-4248-b9ce-b96a6f753ad3,dssdf,444,db62fe4d-8e1e-47ab-8790-75f85d9f3d82,2026-09-07 21:45:07
d9fe95f2-2ff8-43ce-b596-39b0fc645406,Otros 2,800.90,db62fe4d-8e1e-47ab-8790-75f85d9f3d82,2026-09-07 21:54:06
e30c7fd9-311f-4a63-8dab-3af59f0ee895,Otros 3,900,db62fe4d-8e1e-47ab-8790-75f85d9f3d82,2026-09-07 21:54:37
fc8858b0-3a15-417a-8e9b-1a16a9f10f94,Compra camisa,5500,db62fe4d-8e1e-47ab-8790-75f85d9f3d82,2026-09-07 21:58:22
2a345936-316c-44af-908c-564502aba36e,Hola,80500,c1806923-cf57-47e1-bffd-46b38db45514,2026-09-07 21:58:47
86a651e8-06b4-4c4b-b08d-9e0c62137ffa,afasdf,5555,c1806923-cf57-47e1-bffd-46b38db45514,2026-09-07 21:59:15
8e1d7481-6ada-41ef-8b8b-f7bd7715ff21,sdfgdfg,4353454,c1806923-cf57-47e1-bffd-46b38db45514,2026-09-07 22:00:16
